datadate,year,tic,conm,cik,conml,matched
31dec2009,2009,BSMD,BIOSPHERE MEDICAL INC,919015.0,BioSphere Medical Inc,0
30sep2007,2007,MFBC,MFB CORP,916396.0,MFB Corp.,0
30sep2012,2012,RAH,RALCORP HOLDINGS INC,1029506.0,Ralcorp Holdings Inc.,1
31dec2005,2005,SHU.4,SHURGARD STORAGE CTRS  -CL A,906933.0,Shurgard Storage Centers Inc.,0
31dec2005,2005,3RPRN,REPTRON ELECTRONICS INC,918765.0,Reptron Electronics Inc,0
31dec2002,2002,RGIDQ,ROUGE INDUSTRIES INC,918577.0,Rouge Industries Inc.,0
31dec2004,2004,TFF,TECH FLAVORS & FRAGRNCES INC,1000048.0,Technology Flavors & Fragrances Inc.,0
31dec2002,2002,TMEB,UMBRELLA BANCORP INC,883502.0,Umbrella Bancorp Inc,0
31dec2006,2006,ENCY,ENCYSIVE PHARMACEUTICALS INC,887023.0,Encysive Pharmaceuticals Inc,1
31dec2005,2005,CMBC,COMMUNITY BANCORP INC/CA,1089503.0,Community Bancorp Inc,0
30sep2006,2006,PFSL,POCAHONTAS BANCORP INC,1051859.0,Pocahontas Bancorp Inc,0
30jun2013,2013,SPORQ,SPORT-HALEY HOLDINGS INC,892653.0,Sport-Haley Holdings Inc,0
28feb2005,2004,ORYX,ORYX TECHNOLOGY CORP,915355.0,Oryx Technology Corp,0
31dec2011,2011,CELL,BRIGHTPOINT INC,918946.0,Brightpoint Inc,0
31dec2007,2007,OVEN,TURBOCHEF TECHNOLOGIES INC,916545.0,Turbochef Technologies Inc,0
31mar2007,2006,MTICQ,MTI TECHNOLOGY CORP,901696.0,MTI Technology Corp,0
31dec2011,2011,BOOT.1,LACROSSE FOOTWEAR INC,919443.0,LaCrosse Footwear Inc,0
31dec2001,2001,METB,METROBANCORP,818999.0,Metrobancorp,0
31dec2003,2003,3LNKEE,LINK ENERGY LLC,1219702.0,Link Energy LLC,0
31dec2008,2008,BRHI,BRAINTECH INC,1015715.0,Braintech Inc,0
31dec2002,2002,ZNET,CYBERNET INTERNET SVCS INTL,1070658.0,Cybernet Internet Services International,0
31dec2002,2002,ILI.1,INTERLOTT TECHNOLOGIES INC,873998.0,Interlott Technologies Inc.,0
30jun2003,2003,DTIIQ,DT INDUSTRIES INC,918999.0,DT Industries Inc,0
31dec2004,2004,MLS.2,MILLS CORP,914713.0,Mills Corp (The),0
30jun2002,2002,VLDS,VL DISSOLUTION CORP,917173.0,Vl Dissolution Corp,0
31mar2006,2005,CFPI,CALIFORNIA STYLE PALMS INC,879206.0,California Style Palms Inc,0
30sep2005,2005,MROI,MRO SOFTWARE INC,920354.0,MRO Software Inc,0
31dec2004,2004,0573B,QUINTILES TRANSNATIONAL CORP,919623.0,Quintiles Transnational Corp,1
31dec2002,2002,NCNXQ,NUCENTRIX BROADBAND NETWORKS,917707.0,Nucentrix Broadband Networks,0
31dec2001,2001,MTNX,MELTRONIX INC,916232.0,Meltronix Inc,0
